state,fips,cases,deaths
Washington,53,424581,5663
Illinois,17,1370094,24795
California,06,3768807,62680
Arizona,04,872978,17466
Massachusetts,25,702039,17753
Wisconsin,55,669636,7712
Texas,48,2929324,51105
Nebraska,31,222335,2378
Utah,49,402634,2258
Oregon,41,195684,2602
Florida,12,2291996,36074
New York,36,2083649,52417
Rhode Island,44,150385,2700
Georgia,13,1090990,19860
New Hampshire,33,97676,1332
North Carolina,37,990114,12885
New Jersey,34,1010759,25961
Colorado,08,534685,6591
Maryland,24,456196,8929
Nevada,32,320539,5530
Tennessee,47,842366,12213
Hawaii,15,34180,489
Indiana,18,738790,13480
Kentucky,21,455177,6829
Minnesota,27,594520,7389
Oklahoma,40,450847,6878
Pennsylvania,42,1190577,26869
South Carolina,45,588593,9653
District of Columbia,11,48545,1120
Kansas,20,313776,5079
Missouri,29,608952,9392
Vermont,50,23883,252
Virginia,51,670192,11018
Connecticut,09,344977,8173
Iowa,19,369368,6006
Louisiana,22,464833,10478
Ohio,39,1090894,19528
Michigan,26,975440,19775
South Dakota,46,123644,1991
Arkansas,05,338782,5794
Delaware,10,107007,1651
Mississippi,28,314710,7254
New Mexico,35,200650,4115
North Dakota,38,109134,1534
Wyoming,56,59079,712
Alaska,02,68897,336
Maine,23,65715,802
Alabama,01,540083,11038
Idaho,16,189982,2071
Montana,30,110779,1598
West Virginia,54,158468,2761
