state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,7597610.0,3637897.0,2573072.0,63251.0
Illinois,17,12360865.0,6012435.0,3998074.0,80149.0
California,06,40533720.0,19712296.0,12676173.0,299430.0
Arizona,04,6918625.0,3009821.0,2183095.0,36127.0
Massachusetts,25,7792680.0,3977645.0,2655965.0,75177.0
Wisconsin,55,5458225.0,2695375.0,2137739.0,37833.0
Texas,48,26000725.0,11253017.0,8130177.0,161661.0
Nebraska,31,1812310.0,844553.0,666579.0,11790.0
Utah,49,2614680.0,1289439.0,800160.0,18893.0
Oregon,41,4083255.0,1936421.0,1353950.0,34617.0
Florida,12,21184875.0,9138942.0,6481275.0,129632.0
New York,36,19347575.0,9460031.0,7072752.0,170878.0
Rhode Island,44,1169975.0,567918.0,409424.0,8766.0
Georgia,13,9721415.0,3769478.0,2730134.0,63329.0
New Hampshire,33,1353385.0,830096.0,410323.0,3556.0
North Carolina,37,10101810.0,4173701.0,3212803.0,58984.0
New Jersey,34,9006975.0,4660766.0,3354569.0,66588.0
Colorado,08,5598750.0,2722484.0,1972476.0,46187.0
Maryland,24,6251320.0,2995467.0,2147415.0,47218.0
Nevada,32,2569060.0,1239579.0,898594.0,17040.0
Tennessee,47,5559400.0,2376198.0,1740456.0,32466.0
Hawaii,15,1514400.0,763392.0,522156.0,11369.0
Indiana,18,5610540.0,2473686.0,1886703.0,39356.0
Kentucky,21,4023755.0,1855240.0,1456343.0,18906.0
Minnesota,27,5176510.0,2709898.0,2021447.0,43493.0
Oklahoma,40,3782545.0,1537843.0,1199983.0,12940.0
Pennsylvania,42,12985685.0,6509831.0,4308237.0,105920.0
South Carolina,45,4616505.0,1906089.0,1461521.0,21975.0
District of Columbia,11,875555.0,347171.0,220887.0,5734.0
Kansas,20,2765345.0,1252195.0,951548.0,13416.0
Missouri,29,5369365.0,2344903.0,1756227.0,31640.0
Vermont,50,710550.0,361667.0,248809.0,7356.0
Virginia,51,8451965.0,4107915.0,2952623.0,69502.0
Connecticut,09,3955085.0,1995763.0,1447776.0,31994.0
Iowa,19,2856615.0,1411697.0,1128668.0,22154.0
Louisiana,22,3687450.0,1508110.0,1252156.0,9515.0
Ohio,39,10747775.0,4783268.0,3915682.0,65358.0
Michigan,26,9879700.0,4322662.0,3325862.0,66577.0
South Dakota,46,904295.0,398802.0,336891.0,4712.0
Arkansas,05,2645650.0,1085254.0,795792.0,13845.0
Delaware,10,1011365.0,464102.0,334001.0,8282.0
Mississippi,28,2468665.0,935532.0,723710.0,8750.0
New Mexico,35,2082125.0,1086281.0,817718.0,14660.0
North Dakota,38,647200.0,300916.0,253372.0,2165.0
Wyoming,56,483595.0,198293.0,163997.0,1786.0
Alaska,02,772405.0,308846.0,263754.0,3084.0
Maine,23,1430130.0,750419.0,557579.0,12453.0
Alabama,01,4145390.0,1609919.0,1179793.0,20711.0
Idaho,16,1453795.0,614283.0,500882.0,7412.0
Montana,30,1003745.0,441030.0,353547.0,5566.0
West Virginia,54,1664475.0,645160.0,555684.0,6542.0
